"Puolueiden kannatus eduskuntavaaleissa vaalipiireittäin 1983-2023";;;;;;;;;;;
"VP11 Keski-Suomen vaalipiiri | Osuus äänistä";;;;;;;;;;;
;"1983";"1987";"1991";"1995";"1999";"2003";"2007";"2011";"2015";"2019";"2023"
"KOK";18,3;20,1;13,4;13,2;14,9;14,2;14,8;15,0;13,1;12,8;16,3
"PS";7,6;7,7;7,4;0,7;0,2;0,4;2,6;18,1;19,3;18,0;20,5
"SDP";30,6;27,6;24,9;31,3;24,8;25,5;24,5;21,2;19,0;18,9;22,8
"KESK";21,3;19,7;31,5;25,6;30,6;34,9;33,2;21,8;26,9;19,8;17,7
"VIHR";.;3,5;5,4;6,0;5,3;6,5;7,0;6,5;9,0;11,4;7,6
"VAS";16,6;13,5;11,3;12,8;12,5;9,5;7,4;9,0;6,7;8,2;6,5
"RKP";0,3;0,2;.;.;0,2;.;.;.;.;0,0;0,1
"KD";4,1;3,6;5,2;7,0;8,0;7,4;7,9;6,4;4,4;5,7;5,3
"Yksikkö: %";;;;;;;;;;;
"Lähde: Tilastokeskus, eduskuntavaalit";;;;;;;;;;;